stop_id,stop_code,stop_name,stop_lat,stop_lon
WalnutBlvd_S_ProfessionalDr,10536,Walnut & Professional Dr,44.592488196,-123.278093192
WalnutBlvd_S_RollingGreenDr,10589,Walnut & Rolling Green,44.593598589,-123.271229026
WalnutBlvd_S_SatinwoodSt,10493,Walnut & Satinwood,44.593936556,-123.256481819
WalnutBlvd_S_WalnutPl,10625,Walnut & Hummingbird,44.593092266,-123.295954556
WalnutBlvd_S_WithamHillDr,10571,Walnut & Witham Hill/Glenridge,44.593797834,-123.301329399
WalnutBlvd_W_ConserSt,10464,Walnut & Conser,44.591312111,-123.242864367
WashingtonSt_W_3rdAve,,Washington & 3rd,44.635452,-123.109856
WashingtonSt_W_WaterAve,,Washington & Water,44.637207,-123.11026
WaverlyDr_W_14thAve,,Waverly & 14th,44.628353,-123.073341
WaverlyDr_W_21stPl,,Waverly & 21st,44.62141,-123.073021
WaverlyDr_W_25thAve,,Waverly & 25th,44.617386,-123.072891
WaverlyDr_W_GrandPrairieRd,,Waverly & Grand Prairie,44.614109,-123.073174
WaverlyDr_W_MoragaAve,,Waverly & Moraga,44.603851,-123.07354
WaverlyDr_W_PacificBlvd,,Waverly & Pacific,44.637169,-123.073524
WaverlyDr_W_QueenAve,,Waverly & Queen,44.624748,-123.073097
WaverlyDr_W_SantiamHwy,,Waverly at Fred Meyer [Shelter],44.630787,-123.07357
WesternBlvd_N_13thSt,11920,Western & 13th,44.560127444,-123.271884516
WesternBlvd_N_16thSt,11912,Western & 17th,44.559786295,-123.275381201
WesternBlvd_N_26thSt,11908,Western & 26th,44.55864572,-123.278409864
WesternBlvd_N_35thSt,11867,Western & 35th,44.557005438,-123.290186324
WesternBlvd_N_4thSt,11949,Western & 4th,44.559821298,-123.264714129
WesternBlvd_N_7thSt,11931,Western & 7th [Shelter],44.560468606,-123.268359469
WesternBlvd_N_GroveSt_A,11898,Western & Grove/Reser Stadium [Shelter],44.557163546,-123.281588612
WesternBlvd_N_GroveSt_B,11880,Western & Grove,44.556917345,-123.283442798
WesternBlvd_N_IvyPl,11851,Western & Ivy,44.556627566,-123.293677107
WesternBlvd_N_PoplarPl,11879,Western & Poplar,44.556947298,-123.285940286
WesternBlvd_S_35thSt,11769,Western & 35th,44.556784582,-123.289358078
WesternBlvd_S_GroveSt,11748,Western & Grove [Shelter],44.556792829,-123.2827167
WesternBlvd_S_IvyPl,11776,Western & Ivy,44.556498285,-123.293673031
WesternBlvd_S_PoplarPl,11753,Western & Poplar,44.556790864,-123.286716752
WesternBlvd_S_StammPl,,Western & Stamm [Not Used],44.556772097,-123.288172393
WestHillsRd_N_55thSt,13491,West Hills & 55th,44.55642067,-123.316278057
WestHillsRd_N_GeroldSt,,West Hills & Gerold,44.556366319,-123.308095453
WestHillsRd_N_LookoutDr,,West Hills & Lookout,44.557010866,-123.296305051
WestHillsRd_N_StoppPl,,West Hills & Stopp,44.556402808,-123.302394597
WestHillsRd_N_TimianSt,,West Hills & Timian,44.556384444,-123.305522737
WestHillsRd_S_53rdSt,,West Hills & 53rd,44.556184935,-123.311747504
WestHillsRd_S_GeroldSt,,West Hills & Gerold,44.556273158,-123.307933206
WestHillsRd_S_LookoutDr,,West Hills & Lookout,44.556801414,-123.296248755
WestHillsRd_S_TimianSt,,West Hills & Timian,44.556263259,-123.305627486
WestHillsRd_S_WestHillsPl,,West Hills & West Hills Pl,44.556394373,-123.301459902
WithamHillDr_E_CircleBlvd,14631,Witham Hill & Circle [Shelter],44.581666438,-123.295509825
WithamHillDr_E_ElmwoodDr,14665,Witham Hill & Elmwood,44.589094757,-123.302087617
WithamHillDr_E_UniversityPl,14649,Witham Hill at Witham Oaks,44.58394816,-123.298056056
WithamHillDr_E_WestviewPl,14654,Witham Hill & Douglas,44.585977047,-123.30006658
WithamHillDr_W_DouglasAve,14683,Witham Hill & Douglas,44.585462798,-123.299788706
WithamHillDr_W_ElmwoodDr,14677,Witham Hill & Elmwood,44.588697809,-123.302339152
WithamHillDr_W_FernwoodCir,14715,Witham Hill & Fernwood,44.578991868,-123.291957705
WithamHillDr_W_PineconePl,14696,Witham Hill Oaks [Shelter],44.583444277,-123.297832034
WithamHillDr_W_WalnutBlvd,14394,Witham Hill & Walnut,44.593330568,-123.30226823
WithamHillDr_W_WoodlandDr,14704,Witham Hill & Woodland [Shelter],44.581878592,-123.296103853
